District,District Code,School/Category,School Code,Federal Funds,"State, Local, and Other Funds",Total
Achievement First Bridgeport Academy District,2850013,Total District Expenditures,0000000,"$1,973.00","$12,361.00","$14,334.00"
Achievement First Hartford Academy District,2880013,Total District Expenditures,0000000,"$1,982.00","$13,113.00","$15,094.00"
Amistad Academy District,2790013,Total District Expenditures,0000000,"$1,813.00","$13,088.00","$14,901.00"
Andover School District,0010011,Total District Expenditures,0000000,$866.00,"$21,660.00","$22,525.00"
Ansonia School District,0020011,Total District Expenditures,0000000,"$1,880.00","$16,401.00","$18,281.00"
Area Cooperative Educational Services,2440014,Total District Expenditures,0000000,"$1,355.00","$43,468.00","$44,824.00"
Ashford School District,0030011,Total District Expenditures,0000000,$960.00,"$21,401.00","$22,361.00"
Avon School District,0040011,Total District Expenditures,0000000,$520.00,"$19,624.00","$20,144.00"
Barkhamsted School District,0050011,Total District Expenditures,0000000,"$1,090.00","$21,311.00","$22,401.00"
Berlin School District,0070011,Total District Expenditures,0000000,$422.00,"$20,469.00","$20,891.00"
Bethany School District,0080011,Total District Expenditures,0000000,"$1,029.00","$18,263.00","$19,292.00"
Bethel School District,0090011,Total District Expenditures,0000000,$932.00,"$16,775.00","$17,707.00"
Bloomfield School District,0110011,Total District Expenditures,0000000,"$1,667.00","$20,847.00","$22,514.00"
Bolton School District,0120011,Total District Expenditures,0000000,$651.00,"$19,131.00","$19,782.00"
Booker T. Washington Academy District,2950013,Total District Expenditures,0000000,"$1,506.00","$12,129.00","$13,635.00"
Bozrah School District,0130011,Total District Expenditures,0000000,"$1,349.00","$23,361.00","$24,710.00"
Branford School District,0140011,Total District Expenditures,0000000,$922.00,"$22,116.00","$23,037.00"
Brass City Charter School District,2900013,Total District Expenditures,0000000,"$1,650.00","$13,002.00","$14,652.00"
Bridgeport School District,0150011,Total District Expenditures,0000000,"$3,491.00","$14,732.00","$18,223.00"
Bristol School District,0170011,Total District Expenditures,0000000,"$1,673.00","$17,067.00","$18,740.00"
Brookfield School District,0180011,Total District Expenditures,0000000,$581.00,"$18,517.00","$19,098.00"
Brooklyn School District,0190011,Total District Expenditures,0000000,"$1,146.00","$16,599.00","$17,745.00"
Canaan School District,0210011,Total District Expenditures,0000000,"$1,032.00","$33,024.00","$34,056.00"
Canterbury School District,0220011,Total District Expenditures,0000000,"$1,254.00","$17,674.00","$18,929.00"
Canton School District,0230011,Total District Expenditures,0000000,$522.00,"$19,725.00","$20,246.00"
Capital Preparatory Harbor School District,2970013,Total District Expenditures,0000000,"$2,010.00","$10,856.00","$12,865.00"
Capitol Region Education Council,2410014,Total District Expenditures,0000000,"$1,957.00","$24,261.00","$26,218.00"
