District,District Code,School/Category,School Code,Federal Funds,"State, Local, and Other Funds",Total
Achievement First Bridgeport Academy District,2850013,Total District Expenditures,0000000,$502.00,"$11,652.00","$12,154.00"
Achievement First Hartford Academy District,2880013,Total District Expenditures,0000000,$693.00,"$14,068.00","$14,761.00"
Amistad Academy District,2790013,Total District Expenditures,0000000,$639.00,"$11,603.00","$12,243.00"
Andover School District,0010011,Total District Expenditures,0000000,$968.00,"$20,243.00","$21,211.00"
Ansonia School District,0020011,Total District Expenditures,0000000,$737.00,"$14,695.00","$15,432.00"
Area Cooperative Educational Services,2440014,Total District Expenditures,0000000,$224.00,"$31,512.00","$31,736.00"
Ashford School District,0030011,Total District Expenditures,0000000,$451.00,"$19,062.00","$19,512.00"
Avon School District,0040011,Total District Expenditures,0000000,$231.00,"$17,185.00","$17,416.00"
Barkhamsted School District,0050011,Total District Expenditures,0000000,$475.00,"$16,354.00","$16,829.00"
Berlin School District,0070011,Total District Expenditures,0000000,$320.00,"$16,412.00","$16,732.00"
Bethany School District,0080011,Total District Expenditures,0000000,$440.00,"$18,298.00","$18,738.00"
Bethel School District,0090011,Total District Expenditures,0000000,$321.00,"$15,335.00","$15,657.00"
Bloomfield School District,0110011,Total District Expenditures,0000000,$489.00,"$19,417.00","$19,906.00"
Bolton School District,0120011,Total District Expenditures,0000000,$259.00,"$17,475.00","$17,734.00"
Booker T. Washington Academy District,2950013,Total District Expenditures,0000000,$455.00,"$11,498.00","$11,953.00"
Bozrah School District,0130011,Total District Expenditures,0000000,$611.00,"$19,220.00","$19,831.00"
Branford School District,0140011,Total District Expenditures,0000000,$355.00,"$18,975.00","$19,330.00"
Brass City Charter School District,2900013,Total District Expenditures,0000000,$425.00,"$13,848.00","$14,273.00"
Bridgeport School District,0150011,Total District Expenditures,0000000,"$1,081.00","$12,970.00","$14,051.00"
Bristol School District,0170011,Total District Expenditures,0000000,$630.00,"$14,564.00","$15,194.00"
Brookfield School District,0180011,Total District Expenditures,0000000,$222.00,"$15,678.00","$15,900.00"
Brooklyn School District,0190011,Total District Expenditures,0000000,$270.00,"$16,214.00","$16,484.00"
Canaan School District,0210011,Total District Expenditures,0000000,$777.00,"$29,399.00","$30,176.00"
Canterbury School District,0220011,Total District Expenditures,0000000,$555.00,"$16,635.00","$17,190.00"
Canton School District,0230011,Total District Expenditures,0000000,$233.00,"$16,981.00","$17,214.00"
Capital Preparatory Harbor School District,2970013,Total District Expenditures,0000000,$361.00,"$10,772.00","$11,133.00"
