District,District Code,School/Category,School Code,Federal Funds,"State, Local, and Other Funds",Total
Achievement First Bridgeport Academy District,2850013,Total District Expenditures,0000000,$587.00,"$11,868.00","$12,455.00"
Achievement First Hartford Academy District,2880013,Total District Expenditures,0000000,$801.00,"$13,020.00","$13,821.00"
Amistad Academy District,2790013,Total District Expenditures,0000000,$661.00,"$11,465.00","$12,126.00"
Andover School District,0010011,Total District Expenditures,0000000,$479.00,"$22,273.00","$22,752.00"
Ansonia School District,0020011,Total District Expenditures,0000000,$757.00,"$14,953.00","$15,710.00"
Area Cooperative Educational Services,2440014,Total District Expenditures,0000000,$219.00,"$36,675.00","$36,894.00"
Ashford School District,0030011,Total District Expenditures,0000000,$564.00,"$19,839.00","$20,404.00"
Avon School District,0040011,Total District Expenditures,0000000,$267.00,"$17,895.00","$18,162.00"
Barkhamsted School District,0050011,Total District Expenditures,0000000,$563.00,"$18,323.00","$18,887.00"
Berlin School District,0070011,Total District Expenditures,0000000,$308.00,"$17,864.00","$18,172.00"
Bethany School District,0080011,Total District Expenditures,0000000,$424.00,"$18,707.00","$19,132.00"
Bethel School District,0090011,Total District Expenditures,0000000,$335.00,"$15,633.00","$15,968.00"
Bloomfield School District,0110011,Total District Expenditures,0000000,$475.00,"$19,417.00","$19,891.00"
Bolton School District,0120011,Total District Expenditures,0000000,$276.00,"$18,408.00","$18,684.00"
Booker T. Washington Academy District,2950013,Total District Expenditures,0000000,$624.00,"$12,467.00","$13,091.00"
Bozrah School District,0130011,Total District Expenditures,0000000,$435.00,"$21,604.00","$22,039.00"
Branford School District,0140011,Total District Expenditures,0000000,$256.00,"$20,211.00","$20,467.00"
Brass City Charter School District,2900013,Total District Expenditures,0000000,$394.00,"$12,510.00","$12,904.00"
Bridgeport School District,0150011,Total District Expenditures,0000000,"$1,020.00","$13,699.00","$14,718.00"
Bristol School District,0170011,Total District Expenditures,0000000,$619.00,"$15,317.00","$15,936.00"
Brookfield School District,0180011,Total District Expenditures,0000000,$295.00,"$16,700.00","$16,995.00"
Brooklyn School District,0190011,Total District Expenditures,0000000,$438.00,"$15,130.00","$15,567.00"
Canaan School District,0210011,Total District Expenditures,0000000,$558.00,"$33,924.00","$34,482.00"
Canterbury School District,0220011,Total District Expenditures,0000000,$430.00,"$17,034.00","$17,464.00"
Canton School District,0230011,Total District Expenditures,0000000,$229.00,"$17,491.00","$17,720.00"
Capital Preparatory Harbor School District,2970013,Total District Expenditures,0000000,$365.00,"$10,201.00","$10,566.00"
Capitol Region Education Council,2410014,Total District Expenditures,0000000,$612.00,"$22,961.00","$23,573.00"
Chaplin School District,0240011,Total District Expenditures,0000000,$631.00,"$23,979.00","$24,610.00"
Cheshire School District,0250011,Total District Expenditures,0000000,$269.00,"$17,085.00","$17,354.00"
Chester School District,0260011,Total District Expenditures,0000000,$453.00,"$24,039.00","$24,492.00"
Clinton School District,0270011,Total District Expenditures,0000000,$421.00,"$19,026.00","$19,446.00"
Colchester School District,0280011,Total District Expenditures,0000000,$381.00,"$17,386.00","$17,767.00"
Colebrook School District,0290011,Total District Expenditures,0000000,$775.00,"$23,905.00","$24,680.00"
Columbia School District,0300011,Total District Expenditures,0000000,$319.00,"$18,812.00","$19,132.00"
Common Ground High School District,2680013,Total District Expenditures,0000000,$834.00,"$15,546.00","$16,379.00"
Connecticut Technical Education and Career System,9000016,Total District Expenditures,0000000,$0.00,$0.00,$0.00
Cooperative Educational Services,2430014,Total District Expenditures,0000000,$104.00,"$32,395.00","$32,499.00"
Cornwall School District,0310011,Total District Expenditures,0000000,$826.00,"$31,981.00","$32,807.00"
Coventry School District,0320011,Total District Expenditures,0000000,$314.00,"$16,230.00","$16,544.00"
Cromwell School District,0330011,Total District Expenditures,0000000,$290.00,"$15,300.00","$15,590.00"
Danbury School District,0340011,Total District Expenditures,0000000,$511.00,"$12,622.00","$13,132.00"
Darien School District,0350011,Total District Expenditures,0000000,$242.00,"$21,563.00","$21,805.00"
Deep River School District,0360011,Total District Expenditures,0000000,$449.00,"$20,861.00","$21,310.00"
Derby School District,0370011,Total District Expenditures,0000000,$832.00,"$17,712.00","$18,544.00"
East Granby School District,0400011,Total District Expenditures,0000000,$188.00,"$20,005.00","$20,193.00"
East Haddam School District,0410011,Total District Expenditures,0000000,$233.00,"$20,761.00","$20,994.00"
East Hampton School District,0420011,Total District Expenditures,0000000,$233.00,"$16,986.00","$17,219.00"
East Hartford School District,0430011,Total District Expenditures,0000000,$897.00,"$13,795.00","$14,692.00"
East Haven School District,0440011,Total District Expenditures,0000000,$531.00,"$15,816.00","$16,348.00"
East Lyme School District,0450011,Total District Expenditures,0000000,$299.00,"$17,754.00","$18,053.00"
East Windsor School District,0470011,Total District Expenditures,0000000,$8.00,"$21,227.00","$21,235.00"
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Total District Expenditures,0000000,$304.00,"$38,993.00","$39,298.00"
Eastford School District,0390011,Total District Expenditures,0000000,$367.00,"$20,160.00","$20,527.00"
Easton School District,0460011,Total District Expenditures,0000000,$273.00,"$18,819.00","$19,091.00"
EdAdvance,2420014,Total District Expenditures,0000000,"$9,959.00","$33,512.00","$43,471.00"
Ellington School District,0480011,Total District Expenditures,0000000,$208.00,"$14,848.00","$15,056.00"
Elm City College Preparatory School District,2890013,Total District Expenditures,0000000,$587.00,"$14,199.00","$14,786.00"
Elm City Montessori School District,2910013,Total District Expenditures,0000000,$210.00,"$15,394.00","$15,603.00"
Enfield School District,0490011,Total District Expenditures,0000000,$615.00,"$15,445.00","$16,061.00"
Essex School District,0500011,Total District Expenditures,0000000,$292.00,"$21,356.00","$21,649.00"
Explorations District,2720013,Total District Expenditures,0000000,$788.00,"$18,217.00","$19,005.00"
Fairfield School District,0510011,Total District Expenditures,0000000,$271.00,"$19,325.00","$19,596.00"
Farmington School District,0520011,Total District Expenditures,0000000,$267.00,"$17,283.00","$17,551.00"
Franklin School District,0530011,Total District Expenditures,0000000,$384.00,"$19,080.00","$19,464.00"
Glastonbury School District,0540011,Total District Expenditures,0000000,$304.00,"$18,162.00","$18,466.00"
Granby School District,0560011,Total District Expenditures,0000000,$281.00,"$16,755.00","$17,036.00"
Great Oaks Charter School District,2940013,Total District Expenditures,0000000,"$2,201.00","$13,239.00","$15,439.00"
Greenwich School District,0570011,Total District Expenditures,0000000,$394.00,"$22,251.00","$22,645.00"
Griswold School District,0580011,Total District Expenditures,0000000,$555.00,"$15,390.00","$15,945.00"
Groton School District,0590011,Total District Expenditures,0000000,$471.00,"$16,597.00","$17,068.00"
Guilford School District,0600011,Total District Expenditures,0000000,$287.00,"$18,837.00","$19,123.00"
Hamden School District,0620011,Total District Expenditures,0000000,$496.00,"$19,676.00","$20,172.00"
Hampton School District,0630011,Total District Expenditures,0000000,$731.00,"$25,076.00","$25,807.00"
Hartford School District,0640011,Total District Expenditures,0000000,$949.00,"$16,548.00","$17,496.00"
Hartland School District,0650011,Total District Expenditures,0000000,$403.00,"$22,218.00","$22,620.00"
Hebron School District,0670011,Total District Expenditures,0000000,$237.00,"$17,394.00","$17,631.00"
Highville Charter School District,2860013,Total District Expenditures,0000000,$373.00,"$10,011.00","$10,385.00"
Integrated Day Charter School District,2640013,Total District Expenditures,0000000,$419.00,"$11,791.00","$12,210.00"
Interdistrict School for Arts and Comm District,2650013,Total District Expenditures,0000000,$489.00,"$14,104.00","$14,593.00"
Jumoke Academy District,2610013,Total District Expenditures,0000000,$508.00,"$12,795.00","$13,303.00"
Kent School District,0680011,Total District Expenditures,0000000,$641.00,"$26,739.00","$27,381.00"
Killingly School District,0690011,Total District Expenditures,0000000,$466.00,"$17,012.00","$17,478.00"
Learn,2450014,Total District Expenditures,0000000,$707.00,"$12,906.00","$13,613.00"
Lebanon School District,0710011,Total District Expenditures,0000000,$316.00,"$19,790.00","$20,106.00"
Ledyard School District,0720011,Total District Expenditures,0000000,$318.00,"$15,124.00","$15,442.00"
Lisbon School District,0730011,Total District Expenditures,0000000,$321.00,"$16,261.00","$16,582.00"
Litchfield School District,0740011,Total District Expenditures,0000000,$538.00,"$20,898.00","$21,435.00"
Madison School District,0760011,Total District Expenditures,0000000,$291.00,"$21,520.00","$21,811.00"
Manchester School District,0770011,Total District Expenditures,0000000,$668.00,"$16,504.00","$17,172.00"
Mansfield School District,0780011,Total District Expenditures,0000000,$467.00,"$21,037.00","$21,503.00"
Marlborough School District,0790011,Total District Expenditures,0000000,$420.00,"$16,653.00","$17,072.00"
Meriden School District,0800011,Total District Expenditures,0000000,$673.00,"$13,368.00","$14,041.00"
Middletown School District,0830011,Total District Expenditures,0000000,$635.00,"$19,012.00","$19,648.00"
Milford School District,0840011,Total District Expenditures,0000000,$391.00,"$20,567.00","$20,957.00"
Monroe School District,0850011,Total District Expenditures,0000000,$268.00,"$18,066.00","$18,334.00"
Montville School District,0860011,Total District Expenditures,0000000,$435.00,"$16,942.00","$17,377.00"
Naugatuck School District,0880011,Total District Expenditures,0000000,$835.00,"$14,760.00","$15,595.00"
New Beginnings Inc Family Academy District,2800013,Total District Expenditures,0000000,$535.00,"$12,970.00","$13,505.00"
New Britain School District,0890011,Total District Expenditures,0000000,$892.00,"$13,275.00","$14,168.00"
New Canaan School District,0900011,Total District Expenditures,0000000,$241.00,"$21,744.00","$21,985.00"
New Fairfield School District,0910011,Total District Expenditures,0000000,$415.00,"$18,294.00","$18,709.00"
New Hartford School District,0920011,Total District Expenditures,0000000,$448.00,"$18,164.00","$18,612.00"
New Haven School District,0930011,Total District Expenditures,0000000,"$1,484.00","$15,444.00","$16,929.00"
New London School District,0950011,Total District Expenditures,0000000,"$1,210.00","$15,289.00","$16,498.00"
New Milford School District,0960011,Total District Expenditures,0000000,$357.00,"$15,732.00","$16,089.00"
Newington School District,0940011,Total District Expenditures,0000000,$292.00,"$17,825.00","$18,117.00"
Newtown School District,0970011,Total District Expenditures,0000000,$332.00,"$18,885.00","$19,217.00"
Norfolk School District,0980011,Total District Expenditures,0000000,$624.00,"$31,630.00","$32,254.00"
North Branford School District,0990011,Total District Expenditures,0000000,$540.00,"$18,490.00","$19,031.00"
North Canaan School District,1000011,Total District Expenditures,0000000,$720.00,"$21,430.00","$22,150.00"
North Haven School District,1010011,Total District Expenditures,0000000,$260.00,"$17,287.00","$17,547.00"
North Stonington School District,1020011,Total District Expenditures,0000000,$310.00,"$17,675.00","$17,985.00"
Norwalk School District,1030011,Total District Expenditures,0000000,$504.00,"$18,273.00","$18,777.00"
Norwich School District,1040011,Total District Expenditures,0000000,$985.00,"$16,969.00","$17,954.00"
Odyssey Community School District,2630013,Total District Expenditures,0000000,$144.00,"$12,595.00","$12,740.00"
Old Saybrook School District,1060011,Total District Expenditures,0000000,$374.00,"$21,041.00","$21,416.00"
Orange School District,1070011,Total District Expenditures,0000000,$317.00,"$17,237.00","$17,553.00"
Oxford School District,1080011,Total District Expenditures,0000000,$161.00,"$17,840.00","$18,001.00"
Park City Prep Charter School District,2830013,Total District Expenditures,0000000,$617.00,"$10,778.00","$11,395.00"
Plainfield School District,1090011,Total District Expenditures,0000000,$484.00,"$15,559.00","$16,043.00"
Plainville School District,1100011,Total District Expenditures,0000000,$370.00,"$16,540.00","$16,910.00"
Plymouth School District,1110011,Total District Expenditures,0000000,$358.00,"$16,676.00","$17,034.00"
Pomfret School District,1120011,Total District Expenditures,0000000,$415.00,"$18,044.00","$18,459.00"
Portland School District,1130011,Total District Expenditures,0000000,$291.00,"$16,723.00","$17,014.00"
Preston School District,1140011,Total District Expenditures,0000000,$449.00,"$18,669.00","$19,118.00"
Putnam School District,1160011,Total District Expenditures,0000000,$641.00,"$16,717.00","$17,358.00"
Redding School District,1170011,Total District Expenditures,0000000,$304.00,"$25,726.00","$26,030.00"
Regional School District 01,2010012,Total District Expenditures,0000000,$636.00,"$29,264.00","$29,900.00"
Regional School District 04,2040012,Total District Expenditures,0000000,$299.00,"$20,657.00","$20,956.00"
Regional School District 05,2050012,Total District Expenditures,0000000,$238.00,"$19,348.00","$19,586.00"
Regional School District 06,2060012,Total District Expenditures,0000000,$277.00,"$19,983.00","$20,260.00"
Regional School District 07,2070012,Total District Expenditures,0000000,$249.00,"$19,940.00","$20,189.00"
Regional School District 08,2080012,Total District Expenditures,0000000,$263.00,"$18,314.00","$18,577.00"
Regional School District 09,2090012,Total District Expenditures,0000000,$243.00,"$23,021.00","$23,264.00"
Regional School District 10,2100012,Total District Expenditures,0000000,$241.00,"$16,693.00","$16,934.00"
Regional School District 11,2110012,Total District Expenditures,0000000,$669.00,"$23,995.00","$24,664.00"
Regional School District 12,2120012,Total District Expenditures,0000000,$522.00,"$27,340.00","$27,862.00"
Regional School District 13,2130012,Total District Expenditures,0000000,$293.00,"$22,361.00","$22,654.00"
Regional School District 14,2140012,Total District Expenditures,0000000,$306.00,"$20,955.00","$21,262.00"
Regional School District 15,2150012,Total District Expenditures,0000000,$302.00,"$19,220.00","$19,521.00"
Regional School District 16,2160012,Total District Expenditures,0000000,$266.00,"$17,176.00","$17,443.00"
Regional School District 17,2170012,Total District Expenditures,0000000,$271.00,"$20,074.00","$20,345.00"
Regional School District 18,2180012,Total District Expenditures,0000000,$265.00,"$22,632.00","$22,897.00"
Regional School District 19,2190012,Total District Expenditures,0000000,$344.00,"$19,337.00","$19,681.00"
Ridgefield School District,1180011,Total District Expenditures,0000000,$223.00,"$20,796.00","$21,019.00"
Rocky Hill School District,1190011,Total District Expenditures,0000000,$342.00,"$16,016.00","$16,358.00"
Salem School District,1210011,Total District Expenditures,0000000,$330.00,"$16,779.00","$17,109.00"
Salisbury School District,1220011,Total District Expenditures,0000000,$570.00,"$24,526.00","$25,096.00"
Scotland School District,1230011,Total District Expenditures,0000000,$480.00,"$21,682.00","$22,162.00"
Seymour School District,1240011,Total District Expenditures,0000000,$403.00,"$15,553.00","$15,956.00"
Sharon School District,1250011,Total District Expenditures,0000000,"$1,292.00","$45,443.00","$46,735.00"
Shelton School District,1260011,Total District Expenditures,0000000,$307.00,"$15,466.00","$15,773.00"
Sherman School District,1270011,Total District Expenditures,0000000,$385.00,"$22,623.00","$23,008.00"
Side By Side Charter School District,2700013,Total District Expenditures,0000000,$276.00,"$12,270.00","$12,546.00"
Simsbury School District,1280011,Total District Expenditures,0000000,$322.00,"$17,670.00","$17,992.00"
