District,District Code,School/Category,School Code,Federal Funds,"State, Local, and Other Funds",Total
Achievement First Bridgeport Academy District,2850013,Total District Expenditures,0000000,$511.00,"$11,738.00","$12,249.00"
Achievement First Hartford Academy District,2880013,Total District Expenditures,0000000,$762.00,"$13,106.00","$13,868.00"
Amistad Academy District,2790013,Total District Expenditures,0000000,$567.00,"$11,682.00","$12,250.00"
Andover School District,0010011,Total District Expenditures,0000000,$626.00,"$22,309.00","$22,935.00"
Ansonia School District,0020011,Total District Expenditures,0000000,$766.00,"$14,887.00","$15,653.00"
Area Cooperative Educational Services,2440014,Total District Expenditures,0000000,$387.00,"$33,915.00","$34,302.00"
Ashford School District,0030011,Total District Expenditures,0000000,$618.00,"$18,832.00","$19,450.00"
Avon School District,0040011,Total District Expenditures,0000000,$224.00,"$17,723.00","$17,947.00"
Barkhamsted School District,0050011,Total District Expenditures,0000000,$585.00,"$17,465.00","$18,051.00"
Berlin School District,0070011,Total District Expenditures,0000000,$301.00,"$17,039.00","$17,340.00"
Bethany School District,0080011,Total District Expenditures,0000000,$400.00,"$18,423.00","$18,822.00"
Bethel School District,0090011,Total District Expenditures,0000000,$331.00,"$15,637.00","$15,968.00"
Bloomfield School District,0110011,Total District Expenditures,0000000,$428.00,"$19,525.00","$19,954.00"
Bolton School District,0120011,Total District Expenditures,0000000,$292.00,"$18,202.00","$18,494.00"
Booker T. Washington Academy District,2950013,Total District Expenditures,0000000,$531.00,"$11,722.00","$12,253.00"
Bozrah School District,0130011,Total District Expenditures,0000000,$529.00,"$23,814.00","$24,343.00"
Branford School District,0140011,Total District Expenditures,0000000,$421.00,"$19,828.00","$20,249.00"
Brass City Charter School District,2900013,Total District Expenditures,0000000,$361.00,"$13,842.00","$14,204.00"
Bridgeport School District,0150011,Total District Expenditures,0000000,"$1,032.00","$13,388.00","$14,419.00"
Bristol School District,0170011,Total District Expenditures,0000000,$566.00,"$14,708.00","$15,274.00"
Brookfield School District,0180011,Total District Expenditures,0000000,$265.00,"$16,249.00","$16,514.00"
Brooklyn School District,0190011,Total District Expenditures,0000000,$460.00,"$14,749.00","$15,209.00"
Canaan School District,0210011,Total District Expenditures,0000000,$670.00,"$33,800.00","$34,470.00"
Canterbury School District,0220011,Total District Expenditures,0000000,$505.00,"$17,233.00","$17,737.00"
Canton School District,0230011,Total District Expenditures,0000000,$233.00,"$17,283.00","$17,516.00"
Capital Preparatory Harbor School District,2970013,Total District Expenditures,0000000,$271.00,"$9,775.00","$10,045.00"
Capitol Region Education Council,2410014,Total District Expenditures,0000000,$592.00,"$22,151.00","$22,744.00"
Chaplin School District,0240011,Total District Expenditures,0000000,$562.00,"$22,110.00","$22,673.00"
Cheshire School District,0250011,Total District Expenditures,0000000,$216.00,"$16,643.00","$16,859.00"
Chester School District,0260011,Total District Expenditures,0000000,$517.00,"$22,245.00","$22,762.00"
Clinton School District,0270011,Total District Expenditures,0000000,$394.00,"$18,940.00","$19,334.00"
Colchester School District,0280011,Total District Expenditures,0000000,$384.00,"$16,864.00","$17,248.00"
Colebrook School District,0290011,Total District Expenditures,0000000,$628.00,"$21,860.00","$22,488.00"
Columbia School District,0300011,Total District Expenditures,0000000,$339.00,"$18,543.00","$18,882.00"
Common Ground High School District,2680013,Total District Expenditures,0000000,"$1,136.00","$15,917.00","$17,053.00"
Connecticut Technical Education and Career System,9000016,Total District Expenditures,0000000,$0.00,$0.00,$0.00
Cooperative Educational Services,2430014,Total District Expenditures,0000000,$95.00,"$30,626.00","$30,721.00"
Cornwall School District,0310011,Total District Expenditures,0000000,$858.00,"$29,741.00","$30,599.00"
Coventry School District,0320011,Total District Expenditures,0000000,$396.00,"$16,573.00","$16,969.00"
Cromwell School District,0330011,Total District Expenditures,0000000,$306.00,"$15,322.00","$15,628.00"
Danbury School District,0340011,Total District Expenditures,0000000,$599.00,"$12,921.00","$13,521.00"
Darien School District,0350011,Total District Expenditures,0000000,$258.00,"$21,837.00","$22,095.00"
Deep River School District,0360011,Total District Expenditures,0000000,$515.00,"$20,549.00","$21,064.00"
Derby School District,0370011,Total District Expenditures,0000000,"$1,166.00","$17,323.00","$18,489.00"
East Granby School District,0400011,Total District Expenditures,0000000,$298.00,"$19,703.00","$20,001.00"
